1,71%,10%,1%,2%,14%,2%,5.27%,15.02%,0.3510
2,18%,7%,61%,2%,11%,1%,6.08%,13.10%,0.4636
3,27%,13%,21%,11%,23%,5%,4.81%,8.01%,0.6008
4,7%,6%,20%,42%,24%,1%,4.18%,8.29%,0.5044
5,71%,24%,0%,2%,1%,2%,4.76%,15.09%,0.3154
6,2%,3%,12%,60%,16%,7%,3.45%,9.02%,0.3821
7,29%,10%,12%,18%,25%,6%,4.55%,7.38%,0.6164
8,47%,7%,20%,4%,22%,0%,5.53%,11.30%,0.4889
9,18%,16%,24%,9%,13%,20%,4.28%,6.91%,0.6187
10,0%,4%,62%,21%,3%,10%,5.28%,13.68%,0.3855
11,25%,52%,3%,7%,7%,6%,3.14%,6.20%,0.5053
12,19%,49%,22%,1%,9%,0%,3.89%,6.96%,0.5587
13,12%,51%,2%,0%,7%,28%,2.54%,4.02%,0.6312
14,14%,61%,12%,1%,3%,9%,2.95%,5.29%,0.5576
15,62%,25%,5%,1%,1%,6%,4.64%,13.43%,0.3456
16,9%,13%,48%,14%,1%,15%,4.80%,10.70%,0.4483
17,2%,14%,15%,43%,2%,24%,3.04%,7.29%,0.4162
18,78%,3%,1%,2%,4%,12%,5.29%,16.35%,0.3232
19,15%,10%,6%,41%,16%,12%,3.54%,6.02%,0.5875
20,22%,7%,27%,5%,3%,36%,4.31%,7.62%,0.5654
21,5%,1%,64%,2%,17%,11%,5.92%,12.90%,0.4585
22,27%,15%,2%,29%,4%,23%,3.37%,5.87%,0.5740
23,4%,2%,33%,24%,14%,23%,4.34%,8.58%,0.5059
24,9%,62%,4%,0%,15%,10%,2.70%,4.29%,0.6297
25,15%,7%,20%,55%,3%,0%,3.93%,9.44%,0.4165
26,25%,14%,5%,35%,12%,9%,3.72%,6.30%,0.5900
27,22%,62%,2%,13%,1%,0%,2.77%,5.81%,0.4757
28,10%,22%,21%,19%,7%,21%,3.65%,6.14%,0.5934
29,0%,0%,16%,45%,32%,7%,3.99%,8.41%,0.4741
30,25%,2%,15%,43%,8%,7%,4.20%,8.15%,0.5150
31,58%,12%,4%,23%,2%,1%,4.64%,11.81%,0.3924
32,12%,29%,41%,8%,3%,7%,4.52%,9.25%,0.4879
33,57%,13%,5%,6%,7%,12%,4.71%,12.08%,0.3896
34,54%,26%,4%,3%,10%,3%,4.55%,11.70%,0.3884
35,3%,0%,23%,38%,3%,33%,3.55%,8.06%,0.4405
36,18%,33%,2%,26%,13%,8%,3.18%,4.86%,0.6540
37,1%,57%,6%,11%,15%,10%,2.56%,3.81%,0.6725
38,2%,15%,60%,18%,0%,5%,5.10%,13.07%,0.3898
39,31%,19%,7%,30%,6%,7%,3.83%,7.16%,0.5341
40,35%,20%,17%,3%,11%,14%,4.50%,8.69%,0.5171
41,0%,3%,20%,42%,23%,12%,3.89%,8.37%,0.4640
42,48%,19%,2%,8%,1%,22%,4.00%,10.06%,0.3971
43,3%,60%,2%,8%,19%,8%,2.53%,3.78%,0.6701
